seq_name,time_anno,ann_frames,vid_frames,dataset,split
9a7fc1548b,"{'1': [[0, 19]]}",20,96,ytvos,train
9a9c0e15b7,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
9a84ccf6a7,"{'1': [[0, 11]]}",30,150,ytvos,train
9a68631d24,"{'1': [[0, 29]], '2': [[0, 29]], '4': [[0, 29]], '3': [[0, 29]]}",30,150,ytvos,train
9a767493b7,"{'1': [[0, 5], [17, 24]]}",36,180,ytvos,train
9b4f081782,"{'1': [[0, 35]]}",36,180,ytvos,train
9b22b54ee4,"{'1': [[0, 18]]}",19,91,ytvos,train
9b473fc8fe,"{'1': [[0, 15]], '2': [[0, 19]]}",20,96,ytvos,train
9bce4583a2,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
9bebf1b87f,"{'1': [[0, 5], [10, 31]]}",32,158,ytvos,train
9bfc50d261,"{'1': [[0, 35]]}",36,180,ytvos,train
9c7feca6e4,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
9c29c047b0,{},19,91,ytvos,train
9c166c86ff,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
9c404cac0c,"{'1': [[0, 35]]}",36,180,ytvos,train
9caa49d3ff,"{'1': [[6, 8], [14, 26], [31, 32]]}",36,180,ytvos,train
9cb2f1b646,"{'1': [[21, 30]]}",36,180,ytvos,train
9cfee34031,"{'1': [[17, 35]]}",36,180,ytvos,train
9d01f08ec6,"{'1': [[0, 35]]}",36,180,ytvos,train
9d12ceaddc,"{'1': [[25, 35]], '2': [[0, 33]]}",36,180,ytvos,train
9d2101e9bf,"{'1': [[0, 6], [11, 26]]}",36,180,ytvos,train
9ddefc6165,"{'1': [[0, 35]]}",36,180,ytvos,train
9e6ddbb52d,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
9e29b1982c,"{'1': [[0, 18]]}",19,92,ytvos,train
9ecec5f8ea,{},10,46,ytvos,train
9efb47b595,"{'1': [[0, 19]], '2': [[0, 6], [11, 14]]}",20,96,ytvos,train
9f97bc74c8,"{'1': [[0, 35]]}",36,180,ytvos,train
9f913803e9,"{'1': [[18, 35]]}",36,180,ytvos,train
9fc2bad316,{},36,180,ytvos,train
9fcb310255,"{'1': [[0, 18]], '2': [[6, 18]]}",19,92,ytvos,train
9fcc256871,"{'1': [[0, 18]], '2': [[0, 18]], '3': [[0, 18]]}",19,91,ytvos,train
9fd2fd4d47,"{'1': [[0, 35]]}",36,180,ytvos,train
10b31f5431,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]], '4': [[0, 35]]}",36,180,ytvos,train
11a0c3b724,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
11feabe596,"{'1': [[0, 11], [15, 17], [22, 29]]}",30,150,ytvos,train
12ad198c54,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
13adaad9d9,"{'1': [[0, 35]]}",36,180,ytvos,train
13ae097e20,"{'1': [[0, 35]]}",36,180,ytvos,train
14a6b5a139,"{'1': [[0, 35]]}",36,180,ytvos,train
14c21cea0d,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
14dae0dc93,"{'1': [[6, 13]], '2': [[6, 13]]}",20,96,ytvos,train
15abbe0c52,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
15f67b0fab,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
16af445362,"{'1': [[0, 19]]}",20,96,ytvos,train
16c3fa4d5d,"{'1': [[0, 19]]}",20,96,ytvos,train
17c7bcd146,"{'1': [[0, 19]]}",20,96,ytvos,train
17c220e4f6,"{'1': [[0, 35]]}",36,180,ytvos,train
17cb4afe89,"{'1': [[0, 35]]}",36,180,ytvos,train
17f7a6d805,"{'1': [[0, 29]]}",30,150,ytvos,train
19c00c11f9,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
19e8bc6178,"{'1': [[0, 17]]}",18,86,ytvos,train
19ee80dac6,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]], '4': [[0, 35]]}",36,180,ytvos,train
22d9f5ab0c,"{'1': [[0, 18], [30, 35]]}",36,180,ytvos,train
23b0c8a9ab,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
23b3beafcc,"{'1': [[0, 27]]}",32,156,ytvos,train
23f404a9fc,"{'1': [[0, 19]]}",20,96,ytvos,train
24ab0b83e8,"{'1': [[0, 35]], '2': [[4, 14], [22, 35]]}",36,180,ytvos,train
24ddf05c03,"{'1': [[0, 18]], '2': [[0, 18]]}",19,92,ytvos,train
25c750c6db,"{'1': [[0, 29]]}",30,150,ytvos,train
26bc786d4f,"{'1': [[0, 18]]}",19,91,ytvos,train
26ddd2ef12,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
27a5f92a9c,"{'1': [[3, 11]]}",20,97,ytvos,train
27cf2af1f3,"{'1': [[18, 29]]}",30,150,ytvos,train
28bf9c3cf3,"{'1': [[0, 35]]}",36,180,ytvos,train
28d9fa6016,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
29a0356a2b,"{'1': [[0, 2], [12, 35]]}",36,180,ytvos,train
29e630bdd0,"{'1': [[0, 28]]}",29,144,ytvos,train
29f2332d30,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
30dbdb2cd6,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
31bbd0d793,{},19,91,ytvos,train
32a7cd687b,"{'1': [[0, 29]]}",30,150,ytvos,train
34b109755a,"{'1': [[0, 35]]}",36,180,ytvos,train
34d1b37101,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
34efa703df,"{'1': [[0, 7], [11, 35]]}",36,180,ytvos,train
35c6235b8d,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
36f5cc68fd,"{'1': [[14, 18]], '2': [[0, 18]]}",19,91,ytvos,train
37e45c6247,"{'2': [[10, 19]], '1': [[0, 19]]}",20,96,ytvos,train
39bc49a28c,"{'1': [[0, 24], [33, 35]]}",36,180,ytvos,train
39c3c7bf55,"{'1': [[10, 35]]}",36,180,ytvos,train
39d584b09f,"{'1': [[0, 18]]}",19,91,ytvos,train
39f6f6ffb1,"{'1': [[0, 13], [19, 35]]}",36,180,ytvos,train
40a96c5cb1,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
41a34c20e7,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
42eb5a5b0f,"{'1': [[0, 35]]}",36,180,ytvos,train
44d239b24e,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
045f00aed2,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]]}",36,180,ytvos,train
49ec3e406a,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
50efbe152f,"{'1': [[0, 35]]}",36,180,ytvos,train
50f290b95d,"{'1': [[0, 18]], '2': [[0, 12]]}",19,91,ytvos,train
51a597ee04,"{'1': [[0, 10]], '2': [[0, 10]]}",11,51,ytvos,train
51b5dc30a0,"{'1': [[0, 19]]}",20,96,ytvos,train
51b37b6d97,"{'1': [[0, 19]]}",20,96,ytvos,train
52ee406d9e,"{'1': [[0, 4], [12, 16], [22, 27]]}",36,180,ytvos,train
53cad8e44a,"{'1': [[0, 17], [21, 29]]}",30,150,ytvos,train
054acb238f,"{'1': [[33, 35]]}",36,180,ytvos,train
54b98b8d5e,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
54ebe34f6e,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
55eda6c77e,"{'1': [[0, 35]]}",36,180,ytvos,train
056c200404,{},20,96,ytvos,train
56e71f3e07,"{'1': [[0, 29]]}",30,150,ytvos,train
57a344ab1a,{},36,180,ytvos,train
57c457cc75,"{'1': [[0, 2], [6, 7], [12, 21], [26, 28], [33, 35]]}",36,180,ytvos,train
058a7592c8,"{'1': [[0, 19]]}",20,96,ytvos,train
58a07c17d5,"{'1': [[10, 35]]}",36,180,ytvos,train
58adc6d8b6,"{'1': [[0, 15]]}",16,76,ytvos,train
58c374917e,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
59a6459751,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
59d53d1649,"{'1': [[0, 35]], '2': [[0, 4], [14, 35]]}",36,180,ytvos,train
61da008958,{},20,96,ytvos,train
61ed178ecb,"{'1': [[0, 12]]}",13,61,ytvos,train
61fd977e49,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
62ad6e121c,"{'1': [[0, 17]]}",18,87,ytvos,train
63d37e9fd3,"{'1': [[1, 8], [20, 23]]}",36,180,ytvos,train
63d90c2bae,"{'1': [[0, 19]]}",20,96,ytvos,train
63e544a5d6,"{'1': [[0, 35]]}",36,180,ytvos,train
64f55f1478,"{'1': [[0, 29]]}",30,150,ytvos,train
65bd5eb4f5,"{'1': [[0, 35]]}",36,180,ytvos,train
65dcf115ab,{},19,91,ytvos,train
65f9afe51c,"{'1': [[0, 18]], '2': [[6, 7], [12, 18]]}",19,91,ytvos,train
65ff12bcb5,"{'1': [[0, 22], [29, 35]]}",36,180,ytvos,train
66e98e78f5,"{'1': [[13, 18]], '2': [[0, 18]]}",19,91,ytvos,train
67b0f4d562,"{'1': [[0, 35]]}",36,180,ytvos,train
67ea169a3b,"{'1': [[0, 18]]}",19,92,ytvos,train
68dcb40675,"{'1': [[14, 16]]}",36,180,ytvos,train
68fa8300b4,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
69a436750b,"{'1': [[0, 19]]}",20,96,ytvos,train
69aebf7669,"{'1': [[0, 35]]}",36,180,ytvos,train
69b8c17047,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
69ea9c09d1,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
69f0af42a6,"{'1': [[0, 19]]}",20,97,ytvos,train
70a6b875fa,"{'1': [[0, 35]]}",36,180,ytvos,train
71caded286,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
71d67b9e19,{},20,96,ytvos,train
71e06dda39,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[4, 35]]}",36,180,ytvos,train
72cac683e4,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
72e8d1c1ff,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
72edc08285,"{'1': [[0, 35]]}",36,180,ytvos,train
74d4cee0a4,"{'1': [[8, 18]], '2': [[0, 7]]}",19,91,ytvos,train
74ec2b3073,"{'1': [[0, 18]]}",19,91,ytvos,train
74ef677020,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
75a058dbcd,{},19,91,ytvos,train
75cf58fb2c,"{'1': [[0, 18]], '2': [[0, 18]], '3': [[0, 18]]}",19,91,ytvos,train
77ba4edc72,"{'1': [[0, 19]]}",20,96,ytvos,train
77eea6845e,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
78c7c03716,"{'1': [[4, 18]], '3': [[9, 18]], '2': [[9, 18]]}",19,91,ytvos,train
79a5778027,"{'1': [[18, 35]], '2': [[15, 17], [25, 35]]}",36,180,ytvos,train
79bc006280,"{'1': [[0, 35]]}",36,180,ytvos,train
79bf95e624,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
80c4a94706,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
80ce2e351b,"{'1': [[14, 35]]}",36,180,ytvos,train
80db581acd,"{'1': [[0, 17]], '2': [[0, 9]], '3': [[0, 9]]}",20,96,ytvos,train
80e41b608f,"{'1': [[0, 18], [26, 28]]}",36,180,ytvos,train
80f16b016d,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
081d8250cb,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
81a58d2c6b,"{'1': [[0, 29]], '2': [[0, 7], [23, 29]]}",30,150,ytvos,train
81dffd30fb,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
82fec06574,"{'1': [[7, 29]]}",30,150,ytvos,train
83ae88d217,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
84a4b29286,"{'1': [[0, 3], [23, 35]]}",36,180,ytvos,train
85a4f4a639,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
85ab85510c,"{'1': [[0, 35]]}",36,180,ytvos,train
85b1eda0d9,"{'1': [[0, 18]], '2': [[0, 4]]}",19,92,ytvos,train
88b8274d67,{},36,180,ytvos,train
88ede83da2,"{'1': [[2, 35]], '2': [[0, 10], [16, 35]]}",36,180,ytvos,train
89ebb27334,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
90c7a87887,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
91c33b4290,"{'1': [[0, 35]]}",36,180,ytvos,train
92dabbe3a0,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
93a22bee7e,"{'1': [[0, 19]]}",20,96,ytvos,train
93da9aeddf,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
93e2feacce,"{'1': [[0, 35]]}",36,180,ytvos,train
94db712ac8,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
94e4b66cff,"{'1': [[0, 18]], '2': [[0, 18]]}",19,92,ytvos,train
94e76cbaf6,"{'1': [[0, 35]]}",36,180,ytvos,train
96fb88e9d7,"{'1': [[0, 19]]}",20,96,ytvos,train
97ab569ff3,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
97e59f09fa,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
97eb642e56,"{'1': [[0, 1], [5, 19]], '2': [[0, 4], [14, 19]]}",20,96,ytvos,train
98c7c00a19,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
98d044f206,"{'1': [[0, 19]]}",20,96,ytvos,train
98e909f9d1,"{'1': [[0, 7], [15, 29]]}",30,150,ytvos,train
99c6b1acf2,"{'1': [[0, 19]]}",20,96,ytvos,train
99c4277aee,"{'1': [[0, 19]]}",20,96,ytvos,train
99fcba71e5,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
101caff7d4,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
103f501680,"{'1': [[0, 35]]}",36,180,ytvos,train
104e64565f,"{'1': [[0, 19]]}",20,96,ytvos,train
115ee1072c,"{'1': [[0, 18]]}",19,91,ytvos,train
117cc76bda,"{'1': [[0, 35]]}",36,180,ytvos,train
142d2621f5,"{'1': [[0, 11]], '2': [[0, 18]], '3': [[6, 18]]}",19,91,ytvos,train
145fdc3ac5,"{'1': [[0, 35]]}",36,180,ytvos,train
161eb59aad,"{'1': [[0, 19]]}",20,96,ytvos,train
185bf64702,"{'1': [[0, 19]]}",20,96,ytvos,train
189b44e92c,"{'1': [[0, 19]]}",20,97,ytvos,train
191e74c01d,"{'1': [[0, 29]]}",30,150,ytvos,train
197f3ab6f3,"{'1': [[0, 32]]}",36,180,ytvos,train
204a90d81f,"{'1': [[5, 29]]}",30,150,ytvos,train
207bc6cf01,"{'1': [[0, 28]]}",29,144,ytvos,train
217bae91e5,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
232c09b75b,"{'1': [[9, 22]]}",30,150,ytvos,train
238b84e67f,"{'1': [[3, 19]]}",20,96,ytvos,train
238d4b86f6,{},19,91,ytvos,train
247d729e36,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
256bd83d5e,"{'1': [[8, 35]]}",36,180,ytvos,train
258b3b33c6,"{'1': [[0, 18]]}",19,91,ytvos,train
260dd9ad33,"{'1': [[0, 13]]}",14,66,ytvos,train
282fcab00b,"{'1': [[9, 11]]}",20,96,ytvos,train
307bbb7409,"{'1': [[0, 18]]}",19,91,ytvos,train
322da43910,"{'1': [[0, 19]]}",20,97,ytvos,train
324e35111a,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
346aacf439,"{'1': [[0, 35]]}",36,180,ytvos,train
346e92ff37,"{'1': [[2, 4], [7, 35]]}",36,180,ytvos,train
351c822748,"{'1': [[0, 35]]}",36,180,ytvos,train
0355e92655,"{'1': [[0, 18]], '2': [[0, 18]], '3': [[0, 18]]}",19,92,ytvos,train
360e25da17,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,97,ytvos,train
375a5c0e09,"{'1': [[3, 5], [24, 30]]}",36,180,ytvos,train
404d02e0c0,"{'1': [[0, 29]]}",30,150,ytvos,train
425a0c96e0,{},19,91,ytvos,train
446b8b5f7a,"{'1': [[0, 19]], '2': [[0, 14]]}",20,96,ytvos,train
457e717a14,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
472da1c484,"{'1': [[0, 28]]}",29,144,ytvos,train
474a796272,{},36,180,ytvos,train
479cad5da3,"{'1': [[0, 35]]}",36,180,ytvos,train
482fb439c2,"{'1': [[0, 23], [25, 26]]}",30,150,ytvos,train
484ab44de4,"{'1': [[0, 19]]}",20,96,ytvos,train
486a8ac57e,{},36,180,ytvos,train
0503bf89c9,"{'1': [[0, 22], [27, 29]]}",30,150,ytvos,train
513aada14e,"{'1': [[0, 18]], '2': [[0, 18]]}",19,92,ytvos,train
529b12de78,{},19,91,ytvos,train
534a560609,"{'1': [[0, 18]]}",19,91,ytvos,train
540cb31cfe,"{'1': [[31, 35]]}",36,180,ytvos,train
547b3fb23b,"{'1': [[0, 35]]}",36,180,ytvos,train
549c56f1d4,"{'1': [[0, 19]]}",20,96,ytvos,train
558aa072f0,"{'1': [[0, 35]]}",36,180,ytvos,train
585dd0f208,"{'1': [[0, 13]]}",14,66,ytvos,train
595a0ceea6,"{'1': [[0, 18]]}",19,91,ytvos,train
597ff7ef78,"{'1': [[0, 29]]}",30,150,ytvos,train
606c86c455,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
614e7078db,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
625b89d28a,"{'1': [[0, 18]]}",19,91,ytvos,train
644bad9729,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
684bcd8812,"{'1': [[4, 19]], '2': [[0, 19]], '3': [[5, 19]]}",20,96,ytvos,train
684dc1c40c,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
685a1fa9cf,{},19,91,ytvos,train
691a111e7c,"{'1': [[0, 35]]}",36,180,ytvos,train
692ca0e1a2,"{'1': [[0, 19]]}",20,97,ytvos,train
695b61a2b0,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
697d4fdb02,"{'1': [[0, 28]]}",29,144,ytvos,train
702fd8b729,"{'1': [[0, 35]]}",36,180,ytvos,train
707bf4ce41,"{'1': [[0, 14]]}",18,87,ytvos,train
721bb6f2cb,"{'1': [[0, 18]], '2': [[0, 18]], '3': [[0, 18]]}",19,91,ytvos,train
728e81c319,"{'1': [[0, 13]], '2': [[0, 18]]}",19,91,ytvos,train
734ea0d7fb,"{'1': [[0, 18]]}",19,91,ytvos,train
762e1b3487,"{'1': [[0, 4], [9, 19]], '2': [[0, 4], [9, 19]]}",20,96,ytvos,train
772a0fa402,"{'1': [[0, 35]]}",36,180,ytvos,train
774f6c2175,"{'1': [[2, 7], [14, 35]]}",36,180,ytvos,train
777e58ff3d,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
779e847a9a,"{'1': [[0, 16]], '2': [[0, 16]]}",17,81,ytvos,train
794e6fc49f,{},20,96,ytvos,train
796e6762ce,"{'1': [[15, 35]]}",36,180,ytvos,train
797cd21f71,"{'1': [[0, 5], [10, 29]]}",30,150,ytvos,train
824ca5538f,"{'1': [[0, 35]]}",36,180,ytvos,train
832b5ef379,"{'2': [[0, 19]], '1': [[0, 19]]}",20,97,ytvos,train
834b50b31b,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
836ea92b15,"{'1': [[0, 6], [13, 17]]}",18,90,ytvos,train
839bc71489,"{'1': [[0, 35]], '2': [[0, 7]]}",36,180,ytvos,train
848e7835a0,"{'2': [[0, 19]], '1': [[6, 19]]}",20,96,ytvos,train
854c48b02a,"{'2': [[0, 19]], '1': [[6, 15]]}",20,96,ytvos,train
857a387c86,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
864ffce4fe,{},36,180,ytvos,train
0866d4c5e3,"{'1': [[0, 18]], '2': [[0, 18]], '3': [[0, 2], [6, 18]]}",19,91,ytvos,train
868d6a0685,"{'1': [[0, 18]]}",19,91,ytvos,train
871e409c5c,"{'1': [[29, 32]]}",36,180,ytvos,train
878a299541,"{'1': [[0, 28]]}",29,144,ytvos,train
887a93b198,"{'1': [[0, 21], [29, 35]]}",36,180,ytvos,train
902bc16b37,"{'1': [[0, 18]]}",19,91,ytvos,train
919ac864d6,"{'1': [[0, 35]]}",36,180,ytvos,train
934bdc2893,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]], '4': [[0, 35]]}",36,180,ytvos,train
935d97dd2f,"{'1': [[5, 18]], '2': [[0, 18]]}",19,91,ytvos,train
964ad23b44,"{'1': [[0, 18]]}",19,91,ytvos,train
972c187c0d,"{'1': [[0, 35]]}",36,180,ytvos,train
0974a213dc,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
983e66cbfc,"{'1': [[0, 19]]}",20,96,ytvos,train
984f0f1c36,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
985c3be474,"{'1': [[0, 18]]}",19,91,ytvos,train
990f2742c7,"{'1': [[0, 19]]}",20,96,ytvos,train
994b9b47ba,"{'1': [[0, 24]]}",30,150,ytvos,train
1032e80b37,"{'1': [[0, 19]]}",20,96,ytvos,train
01082ae388,"{'1': [[0, 17], [22, 29]]}",30,150,ytvos,train
1187bbd0e3,"{'1': [[0, 2], [7, 10], [12, 15]]}",20,96,ytvos,train
1232b2f1d4,"{'1': [[0, 7]], '2': [[0, 7]]}",8,36,ytvos,train
1239c87234,"{'1': [[0, 35]]}",36,180,ytvos,train
1295e19071,"{'1': [[0, 19]]}",20,96,ytvos,train
1514e3563f,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
01694ad9c8,"{'1': [[1, 18]]}",19,91,ytvos,train
2000c02f9d,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
2142af8795,"{'1': [[8, 29]]}",30,150,ytvos,train
2268e93b0a,"{'1': [[0, 12]]}",13,61,ytvos,train
2383d8aafd,"{'1': [[0, 3], [12, 17]], '2': [[0, 8], [15, 17], [25, 28]]}",29,144,ytvos,train
2489d78320,"{'1': [[0, 35]]}",36,180,ytvos,train
2719b742ab,"{'1': [[0, 35]]}",36,180,ytvos,train
3054ca937d,"{'1': [[0, 12], [15, 30]]}",36,180,ytvos,train
3245e049fb,"{'1': [[0, 13]], '2': [[0, 13]]}",14,66,ytvos,train
3290c0de97,{},20,96,ytvos,train
3935e63b41,"{'1': [[0, 35]]}",36,180,ytvos,train
4100b57a3a,"{'1': [[0, 29]], '2': [[6, 21]]}",30,150,ytvos,train
4164faee0b,"{'1': [[0, 35]]}",36,180,ytvos,train
4182d51532,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
04194e1248,"{'1': [[0, 14], [24, 25], [27, 28], [32, 35]]}",36,180,ytvos,train
4536c882e5,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
4625f3f2d3,"{'1': [[0, 19]], '2': [[0, 3], [12, 13]]}",20,96,ytvos,train
04667fabaa,"{'1': [[0, 35]]}",36,180,ytvos,train
4783d2ab87,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
4894b3b9ea,"{'1': [[0, 35]]}",36,180,ytvos,train
5110dc72c0,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
5161e1fa57,"{'1': [[0, 35]]}",36,180,ytvos,train
5247d4b160,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
5316d11eb7,"{'1': [[0, 19]], '2': [[0, 6]]}",20,96,ytvos,train
5566ab97e1,"{'1': [[0, 18]]}",19,91,ytvos,train
05579ca250,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
05774f3a2c,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]]}",36,180,ytvos,train
6061ddbb65,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
6135e27185,"{'1': [[0, 19]]}",20,96,ytvos,train
6376d49f31,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
6406c72e4d,"{'1': [[0, 12]]}",13,61,ytvos,train
06840b2bbe,"{'1': [[0, 18]]}",19,91,ytvos,train
6848e012ef,"{'1': [[0, 19]]}",20,96,ytvos,train
6899d2dabe,"{'1': [[0, 12], [16, 18]]}",19,91,ytvos,train
6908ccf557,"{'1': [[9, 10]]}",19,91,ytvos,train
6942f684ad,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
6944fc833b,"{'1': [[13, 35]]}",36,180,ytvos,train
6979b4d83f,"{'1': [[7, 27]]}",36,180,ytvos,train
7094ac0f60,"{'1': [[3, 30]]}",36,180,ytvos,train
7151c53b32,"{'1': [[11, 29]]}",30,150,ytvos,train
7551cbd537,"{'1': [[0, 29]]}",30,150,ytvos,train
7570ca7f3c,"{'1': [[16, 35]]}",36,180,ytvos,train
07652ee4af,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
07913cdda7,"{'1': [[0, 18]]}",19,92,ytvos,train
7923bad550,"{'1': [[0, 29]]}",30,150,ytvos,train
8744b861ce,"{'1': [[6, 19]]}",20,96,ytvos,train
8799ab0118,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
8873ab2806,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
8883e991a9,"{'1': [[0, 17]]}",18,86,ytvos,train
9047bf3222,{},11,51,ytvos,train
9077e69b08,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
09338adea8,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
9579b73761,"{'1': [[0, 35]]}",36,180,ytvos,train
9582e0eb33,{},15,71,ytvos,train
9684ef9d64,{},18,86,ytvos,train
9720eff40f,"{'1': [[0, 35]]}",36,180,ytvos,train
9893d9202d,"{'1': [[0, 18]]}",19,91,ytvos,train
9955b76bf5,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
9966f3adac,"{'1': [[0, 9]], '2': [[0, 9]]}",10,46,ytvos,train
12156b25b3,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
013099c098,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
13325cfa14,"{'1': [[0, 11]], '2': [[0, 19]]}",20,96,ytvos,train
13960b3c84,"{'1': [[0, 4]]}",20,96,ytvos,train
16288ea47f,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
16763cccbb,"{'1': [[0, 29]]}",30,150,ytvos,train
17656bae77,"{'1': [[0, 18]]}",19,91,ytvos,train
